Tue Oct 04 11:04:00 2016

Number of Points = 2691
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
5.921969	1.237715	0.000000	-0.004587	0.511877

5.842203	1.200048	0.005005	-0.004572	0.511671
5.758146	1.277151	0.010010	-0.004555	0.511805
5.811453	1.316434	0.015014	-0.004567	0.511995
5.876198	1.288029	0.020019	-0.004582	0.511995
5.883900	1.189102	0.025024	-0.004584	0.511713
5.849321	1.188332	0.030029	-0.004578	0.511673
5.844693	1.165376	0.035034	-0.004578	0.511604
5.833653	1.090204	0.040038	-0.004577	0.511370
5.785549	1.037264	0.045043	-0.004568	0.511157
5.660100	1.044564	0.050048	-0.004542	0.511030
5.801920	0.888664	0.055053	-0.004573	0.510741
5.778321	0.788510	0.060058	-0.004569	0.510415
5.634895	0.740429	0.065062	-0.004540	0.510098
5.721512	0.573029	0.070067	-0.004559	0.509706
5.692066	0.449278	0.075072	-0.004554	0.509301
5.653466	0.335982	0.080077	-0.004547	0.508916
5.622357	0.178759	0.085082	-0.004541	0.508408
5.594826	0.037366	0.090086	-0.004536	0.507951
5.455732	-0.077460	0.095091	-0.004508	0.507435
5.346332	-0.206897	0.100096	-0.004486	0.506911
5.351155	-0.365297	0.105101	-0.004488	0.506442
5.300019	-0.537633	0.110106	-0.004478	0.505860
5.213354	-0.681565	0.115110	-0.004461	0.505319
5.148268	-0.840048	0.120115	-0.004448	0.504760
5.122791	-1.029243	0.125120	-0.004443	0.504156
4.931052	-1.134338	0.130125	-0.004404	0.503600
4.858547	-1.299194	0.135130	-0.004390	0.503011
4.640858	-1.393945	0.140134	-0.004345	0.502452
4.427742	-1.474344	0.145139	-0.004301	0.501943
4.181580	-1.521308	0.150144	-0.004250	0.501495
4.081707	-1.611275	0.155149	-0.004230	0.501098
3.914933	-1.695101	0.160154	-0.004196	0.500636
3.641445	-1.699596	0.165158	-0.004140	0.500283
3.316842	-1.652287	0.170163	-0.004072	0.500024
3.062075	-1.650029	0.175168	-0.004020	0.499715
3.040867	-1.677237	0.180173	-0.004016	0.499610
2.860459	-1.673399	0.185178	-0.003979	0.499399
2.705667	-1.666159	0.190182	-0.003948	0.499231
2.515083	-1.640652	0.195187	-0.003908	0.499075
2.472824	-1.626195	0.200192	-0.003901	0.499072
2.284488	-1.645317	0.205197	-0.003862	0.498780
2.313363	-1.658246	0.210202	-0.003869	0.498782
2.231754	-1.701817	0.215206	-0.003853	0.498550
2.095959	-1.679436	0.220211	-0.003825	0.498453
1.888200	-1.634876	0.225216	-0.003782	0.498333
1.859272	-1.683815	0.230221	-0.003777	0.498151
1.835529	-1.675823	0.235226	-0.003773	0.498152
1.587897	-1.676275	0.240230	-0.003722	0.497842
1.504552	-1.644190	0.245235	-0.003706	0.497841
1.593792	-1.723793	0.250240	-0.003725	0.497714
1.331557	-1.670021	0.255245	-0.003671	0.497553
1.187935	-1.614182	0.260250	-0.003642	0.497549
1.116102	-1.687019	0.265254	-0.003628	0.497238
1.112998	-1.695413	0.270259	-0.003628	0.497214
0.984657	-1.690516	0.275264	-0.003602	0.497072
0.799571	-1.671385	0.280269	-0.003564	0.496902
0.736933	-1.647927	0.285274	-0.003552	0.496901
0.532658	-1.661999	0.290278	-0.003510	0.496603
0.646929	-1.717771	0.295283	-0.003535	0.496582
0.425399	-1.692325	0.300288	-0.003489	0.496385
0.357919	-1.700092	0.305293	-0.003476	0.496280
0.310349	-1.702800	0.310298	-0.003467	0.496217
0.012508	-1.666759	0.315302	-0.003406	0.495956
0.007903	-1.666399	0.320307	-0.003406	0.495957
0.008654	-1.690228	0.325312	-0.003407	0.495890
-0.199513	-1.682926	0.330317	-0.003364	0.495653
-0.256649	-1.661750	0.335322	-0.003353	0.495652
-0.487372	-1.651500	0.340326	-0.003305	0.495395
-0.514668	-1.660827	0.345331	-0.003301	0.495337
-0.481000	-1.676044	0.350336	-0.003309	0.495339
-0.666892	-1.690647	0.355341	-0.003270	0.495062
-0.743111	-1.669361	0.360346	-0.003255	0.495037
-0.880998	-1.666221	0.365350	-0.003227	0.494876
-1.010511	-1.669221	0.370355	-0.003201	0.494707
-0.959526	-1.694784	0.375360	-0.003213	0.494699
-1.095100	-1.740127	0.380365	-0.003185	0.494390
-1.136198	-1.742308	0.385370	-0.003178	0.494337
-1.457975	-1.694685	0.390374	-0.003111	0.494080
-1.518007	-1.672720	0.395379	-0.003099	0.494077
-1.547290	-1.683633	0.400384	-0.003094	0.494012
-1.823467	-1.646171	0.405389	-0.003037	0.493781
-1.826619	-1.645483	0.410394	-0.003037	0.493785
-1.836864	-1.681326	0.415398	-0.003036	0.493666
-2.038191	-1.669232	0.420403	-0.002995	0.493452
-2.132184	-1.633108	0.425408	-0.002976	0.493450
-2.114154	-1.679359	0.430413	-0.002981	0.493335
-2.385732	-1.632450	0.435418	-0.002925	0.493139
-2.428971	-1.616416	0.440422	-0.002916	0.493140
-2.474727	-1.655626	0.445427	-0.002908	0.492965
-2.625134	-1.639595	0.450432	-0.002877	0.492828
-2.686236	-1.619397	0.455437	-0.002865	0.492818
-2.781450	-1.647323	0.460442	-0.002846	0.492615
-2.893757	-1.619801	0.465446	-0.002824	0.492563
-2.840846	-1.677427	0.470451	-0.002836	0.492456
-3.099910	-1.645432	0.475456	-0.002782	0.492230
-3.239370	-1.590198	0.480461	-0.002754	0.492229
-3.354638	-1.615894	0.485466	-0.002731	0.492007
-3.309085	-1.667206	0.490470	-0.002741	0.491911
-3.433470	-1.647885	0.495475	-0.002716	0.491817
-3.627643	-1.642676	0.500480	-0.002676	0.491590
-3.568925	-1.668023	0.505485	-0.002689	0.491592
-3.955523	-1.606831	0.510490	-0.002609	0.491292
-4.019860	-1.582507	0.515494	-0.002597	0.491292
-3.905247	-1.631304	0.520499	-0.002622	0.491292
-4.050363	-1.644481	0.525504	-0.002592	0.491070
-4.106321	-1.655096	0.530509	-0.002581	0.490971
-4.255655	-1.642769	0.535514	-0.002551	0.490823
-4.433570	-1.622198	0.540518	-0.002514	0.490664
-4.348980	-1.681178	0.545523	-0.002533	0.490594
-4.611902	-1.651779	0.550528	-0.002479	0.490354
-4.687872	-1.621720	0.555533	-0.002464	0.490356
-4.820475	-1.649261	0.560538	-0.002437	0.490104
-4.877545	-1.646023	0.565542	-0.002426	0.490047
-4.886634	-1.681105	0.570547	-0.002425	0.489931
-5.147460	-1.645698	0.575552	-0.002371	0.489712
-5.159013	-1.641250	0.580557	-0.002370	0.489717
-5.355603	-1.644504	0.585562	-0.002329	0.489458
-5.358256	-1.663947	0.590566	-0.002330	0.489400
-5.472018	-1.655191	0.595571	-0.002307	0.489286
-5.711973	-1.621582	0.600576	-0.002257	0.489088
-5.702452	-1.628193	0.605581	-0.002260	0.489086
-5.682065	-1.680448	0.610586	-0.002265	0.488953
-5.811082	-1.681901	0.615590	-0.002239	0.488788
-5.929842	-1.692723	0.620595	-0.002215	0.488606
-6.086478	-1.676078	0.625600	-0.002183	0.488462
-6.095448	-1.705014	0.630605	-0.002182	0.488365
-6.429285	-1.634932	0.635610	-0.002113	0.488160
-6.332604	-1.676184	0.640614	-0.002134	0.488161
-6.428767	-1.712454	0.645619	-0.002115	0.487928
-6.566422	-1.684309	0.650624	-0.002087	0.487844
-6.691926	-1.697363	0.655629	-0.002062	0.487646
-6.669878	-1.738627	0.660634	-0.002067	0.487551
-6.885127	-1.704750	0.665638	-0.002023	0.487384
-6.997488	-1.712724	0.670643	-0.002000	0.487219
-7.159893	-1.647802	0.675648	-0.001967	0.487220
-7.270777	-1.653885	0.680653	-0.001945	0.487063
-7.434088	-1.639889	0.685658	-0.001912	0.486901
-7.399110	-1.654952	0.690662	-0.001920	0.486905
-7.430203	-1.696988	0.695667	-0.001914	0.486737
-7.660194	-1.652295	0.700672	-0.001867	0.486586
-7.624369	-1.673796	0.705677	-0.001875	0.486571
-7.893399	-1.654822	0.710682	-0.001820	0.486287
-7.886907	-1.660111	0.715686	-0.001822	0.486285
-7.986034	-1.672440	0.720691	-0.001802	0.486123
-8.267635	-1.614640	0.725696	-0.001744	0.485946
-8.216793	-1.635261	0.730701	-0.001756	0.485952
-8.353987	-1.594947	0.735706	-0.001728	0.485908
-8.547031	-1.607361	0.740710	-0.001688	0.485623
-8.502622	-1.625206	0.745715	-0.001699	0.485630
-8.532708	-1.639916	0.750720	-0.001693	0.485551
-8.772517	-1.623051	0.755725	-0.001644	0.485298
-8.616337	-1.701688	0.760730	-0.001678	0.485258
-9.051953	-1.612825	0.765734	-0.001587	0.484978
-8.954973	-1.652202	0.770739	-0.001608	0.484985
-9.208410	-1.579107	0.775744	-0.001556	0.484893
-9.387732	-1.590017	0.780749	-0.001519	0.484631
-9.366466	-1.601531	0.785754	-0.001525	0.484628
